restaurant_name,address,price_level,parking_available,review_score,restaurant_type,num_ratings,price_low,price_high,price_mid,parking_free_street_parking,parking_free_parking_lot,parking_parking,parking_paid_street_parking,parking_paid_parking_lot,parking_on_site_parking,parking_valet_parking,parking_free_parking_garage,has_free_parking,city,state,zip
Ocean Beach Cafe,"734 La Playa St, San Francisco, CA 94121",$10–20,Free street parking|Parking,4.7,cafe,596,10,20,15,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Francisco,CA,94121
May Lee Chinese Restaurant,"1256 7th Ave, San Francisco, CA 94122",$10–20,Parking,4.3,chinese restaurant,142,10,20,15,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,San Francisco,CA,94122
Donairo's Pizza,"6905 Geary Blvd, San Francisco, CA 94121",$10–20,,4.4,pizza restaurant,260,10,20,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,San Francisco,CA,94121
The Art Bistro,"2960 Clement St, San Francisco, CA 94121",$1–10,Free street parking,4.8,cafe,414,1,10,5.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Francisco,CA,94121
Pacific Cafe,"7000 Geary Blvd, San Francisco, CA 94121",$30–50,Free street parking|Parking,4.7,seafood restaurant,676,30,50,40,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Francisco,CA,94121
Kufu-Ya,"7001 Geary Blvd, San Francisco, CA 94121",$30–50,Free parking lot|Free street parking,4.5,japanese restaurant,251,30,50,40,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Francisco,CA,94121
Pagan Restaurant,"3199 Clement St, San Francisco, CA 94121",$10–20,Free parking lot|Free street parking,4.6,burmese restaurant,355,10,20,15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Francisco,CA,94121
El Mansour Restaurant,"3119 Clement St, San Francisco, CA 94121",$50–100,Free street parking|Parking,4.5,moroccan restaurant,377,50,100,75,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Francisco,CA,94121
Tsing Tao Restaurant,"3107 Clement St #1615, San Francisco, CA 94121",$10–20,Free street parking,4.3,chinese restaurant,236,10,20,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Francisco,CA,94121
Garden House Cafe,"3117 Clement St, San Francisco, CA 94121",$10–20,Free street parking|Parking,4.4,cafe,425,10,20,15,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Francisco,CA,94121
Bar & Grill | Lincoln Park,"300 34th Ave, San Francisco, CA 94121",,,4.1,bar & grill,15,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,San Francisco,CA,94121
Brioche Bakery & Cafe,"1640 Haight St, San Francisco, CA 94117",$10–20,Free street parking|Paid parking garage|Paid parking lot|Paid street parking,4.2,brunch restaurant,366,10,20,15,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,San Francisco,CA,94117
Al-Masri Egyptian Restaurant,"4031 Balboa St, San Francisco, CA 94121",$20–30,Free street parking,4,egyptian restaurant,113,20,30,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Francisco,CA,94121
Feng Ze Yuan Restaurant,"4401 Balboa St, San Francisco, CA 94121",$20–30,Free street parking|Paid street parking,4.2,chinese restaurant,302,20,30,25,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,San Francisco,CA,94121
Tanuki Japanese Restaurant,"4419 California St, San Francisco, CA 94118",$30–50,,4.9,restaurant,16,30,50,40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,San Francisco,CA,94118
TJ Cafe,"724 La Playa St, San Francisco, CA 94121",$10–20,Free street parking|Parking,4.4,american restaurant,205,10,20,15,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Francisco,CA,94121
Top SF BBQ,"2311 Clement St, San Francisco, CA 94121",$30–50,Free parking lot|Free street parking|Parking,4.3,barbecue restaurant,234,30,50,40,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Francisco,CA,94121
Beach Chalet Brewery and Restaurant,"1000 Great Hwy, San Francisco, CA 94121",$30–50,Free parking lot|Free street parking|Parking,4.1,new american restaurant,3667,30,50,40,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Francisco,CA,94121
Park Chalet,"1000 Great Hwy, San Francisco, CA 94121",$20–30,Free parking lot|Free street parking|Parking,4.1,american restaurant,1062,20,30,25,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Francisco,CA,94121
Hunan Cafe #2,"4450 Cabrillo St, San Francisco, CA 94121",$10–20,,4.6,chinese restaurant,202,10,20,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,San Francisco,CA,94121
Hakka Restaurant,"4401 Cabrillo St, San Francisco, CA 94121",$20–30,Free street parking,4.2,chinese restaurant,336,20,30,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Francisco,CA,94121
Clubhouse Restaurant | Golden Gate Golf Course,"902 47th Ave, San Francisco, CA 94121",,,4.4,american restaurant,20,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,San Francisco,CA,94121
Sri Thai Cuisine,"4621 Lincoln Way, San Francisco, CA 94122",$10–20,Free street parking,4.7,thai restaurant,465,10,20,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Francisco,CA,94122
Shoshin Sushi,"2450 Clement St, San Francisco, CA 94121",$50–100,,4.6,japanese restaurant,61,50,100,75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,San Francisco,CA,94121
Super Duper Burgers,"3401 California St, San Francisco, CA 94118",$10–20,Free parking lot|Free street parking|Paid street parking|Parking,4.5,restaurant,357,10,20,15,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,San Francisco,CA,94118
Yuubi Japanese Restaurant,"501 Balboa St, San Francisco, CA 94118",$30–50,,4.1,japanese restaurant,56,30,50,40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,San Francisco,CA,94118
Taste of Fusion,"3497 Balboa St, San Francisco, CA 94121",$20–30,Free street parking|Paid street parking,4,chinese restaurant,116,20,30,25,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,San Francisco,CA,94121
Violet's,"2301 Clement St, San Francisco, CA 94121",$30–50,,4.3,american restaurant,275,30,50,40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,San Francisco,CA,94121
Sunset Cantina,"3414 Judah St, San Francisco, CA 94122",$20–30,Free street parking,4.5,mexican restaurant,605,20,30,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Francisco,CA,94122
DAMNFiNE pizza,"3410 Judah St, San Francisco, CA 94122",$20–30,Free street parking,4.6,pizza restaurant,497,20,30,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Francisco,CA,94122
The Laundromat SF,"3725 Balboa St, San Francisco, CA 94121",$$,Free street parking|Paid street parking|Parking,4.7,restaurant,553,,,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,San Francisco,CA,94121
Pelican Inn,"10 Pacific Way, Muir Beach, CA 94965",$$,Free parking lot|Free street parking,4.4,restaurant,1338,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Muir Beach,CA,94965
7-Eleven,"349 Miller Ave, Mill Valley, CA 94941",$,Free parking lot|Free street parking,2.2,convenience store,21,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mill Valley,CA,94941
Muir Woods Trading Company,"1 Muir Woods Rd, Mill Valley, CA 94941",,,4.2,restaurant,132,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mill Valley,CA,94941
La Ginestra,"127 Throckmorton Ave, Mill Valley, CA 94941",$30–50,Free parking lot|Free street parking|Paid street parking|Parking,4.6,italian restaurant,152,30,50,40,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Mill Valley,CA,94941
Avatar's Punjabi Burritos,"15 Madrona St, Mill Valley, CA 94941",$10–20,Free street parking|Paid street parking|Parking,4.3,indian restaurant,346,10,20,15,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Mill Valley,CA,94941
Playa Mill Valley,"41 Throckmorton Ave, Mill Valley, CA 94941",$30–50,Free street parking|Paid parking lot|Paid street parking|Parking,4.3,mexican restaurant,546,30,50,40,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Mill Valley,CA,94941
Sweetwater Music Hall,"19 Corte Madera Ave, Mill Valley, CA 94941",$$,,4.7,restaurant,611,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mill Valley,CA,94941
Equator Coffees,"2 Miller Ave, Mill Valley, CA 94941",$1–10,Free street parking|Paid street parking|Parking,4.6,restaurant,614,1,10,5.5,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Mill Valley,CA,94941
Piazza D'Angelo,"22 Miller Ave, Mill Valley, CA 94941",$20–30,Free street parking|Paid parking lot|Paid street parking|Parking,4.4,italian restaurant,579,20,30,25,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Mill Valley,CA,94941
Boo Koo,"25 Miller Ave, Mill Valley, CA 94941",$10–20,Free parking lot|Free street parking|Parking,4.2,asian fusion restaurant,311,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mill Valley,CA,94941
Mill Valley Lumber Yard,"129 Miller Ave, Mill Valley, CA 94941",,Free parking lot|Free street parking,4.6,business center,536,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mill Valley,CA,94941
Bungalow 44,"44 E Blithedale Ave, Mill Valley, CA 94941",$50–100,Free parking lot|Free street parking|Paid street parking|Parking,4.5,new american restaurant,430,50,100,75,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Mill Valley,CA,94941
Prabh Indian Kitchen,"24 Sunnyside Ave, Mill Valley, CA 94941",$20–30,Free parking lot|Free street parking|Paid street parking,4.2,indian restaurant,445,20,30,25,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Mill Valley,CA,94941
Paseo: A California Bistro,"17 Throckmorton Ave, Mill Valley, CA 94941",$50–100,,4.4,californian restaurant,139,50,100,75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mill Valley,CA,94941
Kitchen Sunnyside,"31 Sunnyside Ave #1, Mill Valley, CA 94941",$20–30,Free street parking|Paid street parking|Parking,4.5,american restaurant,509,20,30,25,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Mill Valley,CA,94941
Stefano's Pizza,"11 E Blithedale Ave, Mill Valley, CA 94941",$1–10,Free street parking,4,pizza restaurant,146,1,10,5.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mill Valley,CA,94941
Lam's Kitchen,"89 E Blithedale Ave, Mill Valley, CA 94941",$10–20,Free street parking,4.5,chinese restaurant,108,10,20,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mill Valley,CA,94941
Amberjack,"72 E Blithedale Ave, Mill Valley, CA 94941",$$,Free street parking,4,japanese restaurant,41,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mill Valley,CA,94941
Flour Craft Bakery,"129 Miller Ave #300, Mill Valley, CA 94941",$10–20,Free parking lot|Free street parking,4.4,restaurant,203,10,20,15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mill Valley,CA,94941
Mamas Luncheonette,"8 E Blithedale Ave, Mill Valley, CA 94941",,,5,restaurant,4,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mill Valley,CA,94941
Millie’s Crêpe et Crème,"129 Miller Ave Suite 900, Mill Valley, CA 94941",,,4.8,creperie,87,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mill Valley,CA,94941
Mamahuhu,"173 Throckmorton Ave, Mill Valley, CA 94941",$10–20,Free street parking|Paid street parking|Parking,4.7,chinese restaurant,231,10,20,15,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Mill Valley,CA,94941
Gravity Tavern,"38 Miller Ave Suite 1, Mill Valley, CA 94941",$20–30,Free parking lot|Free street parking|Paid parking lot|Parking,4.2,restaurant,178,20,30,25,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Mill Valley,CA,94941
Watershed Mill Valley,"129 Miller Ave, Mill Valley, CA 94941",$$$,Free parking lot|Free street parking|Parking,4.3,californian restaurant,314,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mill Valley,CA,94941
Corner Bar,"106 Throckmorton Ave, Mill Valley, CA 94941",$$,Free street parking|Paid street parking|Parking,4.5,restaurant,40,,,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Mill Valley,CA,94941
Le Marais Bakery,"250 A, E Blithedale Ave, Mill Valley, CA 94941",$10–20,Free parking lot|Free street parking|Parking,4.6,bistro,260,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mill Valley,CA,94941
The Siren Canteen,"located on the beach at the base of the lifeguard tower, Stinson Beach, CA 94970",$$,,4.7,cafeteria,446,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Stinson Beach,CA,94970
Parkside Snack Bar,"43 Arenal Ave, Stinson Beach, CA 94970",$20–30,,2,snack bar,4,20,30,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Stinson Beach,CA,94970
Baraka Personal Chef Service,"246 Dogwood Rd, Bolinas, CA 94924",,,5,catering,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Bolinas,CA,94924
Coast Cafe,"46 Wharf Rd, Bolinas, CA 94924",$20–30,Free parking lot|Free street parking,4.3,restaurant,331,20,30,25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Bolinas,CA,94924
BoVida,"6 Wharf Rd, Bolinas, CA 94924",$10–20,,4.6,health food restaurant,25,10,20,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Bolinas,CA,94924
Parkside Cafe,"43 Arenal Ave, Stinson Beach, CA 94970",$$$,Free parking lot|Free street parking,3.9,restaurant,1772,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Stinson Beach,CA,94970
Sand Dollar Restaurant,"3458 Shoreline Hwy, Stinson Beach, CA 94970",$$,,3.9,seafood restaurant,251,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Stinson Beach,CA,94970
Café Lotus,"1912 Sir Francis Drake Blvd, Fairfax, CA 94930",$20–30,Free parking lot|Free street parking|Paid parking lot|Parking,4.6,indian restaurant,206,20,30,25,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Fairfax,CA,94930
Fradelizio's in Fairfax,"35 Broadway, Fairfax, CA 94930",$30–50,Free parking lot|Free street parking,4.6,northern italian restaurant,231,30,50,40,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Fairfax,CA,94930
Lord Fairfix Cafe & Tap,"33 Broadway, Fairfax, CA 94930",$10–20,Free street parking,4.4,restaurant,129,10,20,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Fairfax,CA,94930
Village Sake,"19 Bolinas Rd, Fairfax, CA 94930",$50–100,Free street parking,4.7,japanese restaurant,218,50,100,75,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Fairfax,CA,94930
The Hummingbird,"57 Broadway, Fairfax, CA 94930",$20–30,Free street parking,4.5,coffee shop,419,20,30,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Fairfax,CA,94930
GESTALT HAUS,"28 Bolinas Rd, Fairfax, CA 94930",$10–20,Free parking lot|Free street parking|Parking,4.7,beer hall,441,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Fairfax,CA,94930
Más Masa,"31 Bolinas Rd Suite B, Fairfax, CA 94930",$20–30,Free street parking,4.5,restaurant,311,20,30,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Fairfax,CA,94930
Way Station,"2001 Sir Francis Drake Blvd, Fairfax, CA 94930",$20–30,Free parking lot|Free street parking|Parking,4.2,barbecue restaurant,210,20,30,25,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Fairfax,CA,94930
M & G Burgers & Beverages,"2017 Sir Francis Drake Blvd, Fairfax, CA 94930",$10–20,Free parking lot|Free street parking|Parking,4,hamburger restaurant,337,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Fairfax,CA,94930
Good Earth Natural Foods,"720 Center Blvd, Fairfax, CA 94930",,Free parking lot|Free street parking,4.5,natural goods store,284,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Fairfax,CA,94930
Mana Bowls Acai Cafe,"1930 Sir Francis Drake Blvd, Fairfax, CA 94930",$10–20,Parking,4.4,açaí shop,85,10,20,15,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Fairfax,CA,94930
Barefoot Cafe,"1900 Sir Francis Drake Blvd, Fairfax, CA 94930",$20–30,Free parking lot|Free street parking,4.5,american restaurant,484,20,30,25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Fairfax,CA,94930
Splitrock Tap & Wheel,"2020 Sir Francis Drake Blvd, Fairfax, CA 94930",$$,Free street parking,4.6,bicycle shop,77,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Fairfax,CA,94930
Red Boy Pizza - Fairfax,"2404 Sir Francis Drake Blvd, Fairfax, CA 94930",$10–20,Free parking lot|Free street parking|On-site parking,4.4,pizza restaurant,95,10,20,15,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Fairfax,CA,94930
Sorella Caffe,"107 Bolinas Rd, Fairfax, CA 94930",$30–50,Free parking lot|Free street parking|Parking,4.7,italian restaurant,420,30,50,40,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Fairfax,CA,94930
Kuro Nami Japanese Kitchen,"69 Center Blvd, San Anselmo, CA 94960",$50–100,Free parking lot|Free street parking|Paid street parking|Parking,4.7,japanese restaurant,59,50,100,75,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,San Anselmo,CA,94960
Pizzalina - San Anselmo,"914 Sir Francis Drake Blvd, San Anselmo, CA 94960",$10–20,Free parking lot|Free street parking|Parking,4.5,pizza restaurant,181,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Anselmo,CA,94960
High Tech Burrito - San Anselmo,"914-A Sir Francis Drake Blvd, San Anselmo, CA 94960",$10–20,Free street parking,4.1,burrito restaurant,116,10,20,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Anselmo,CA,94960
Subway,"844 Sir Francis Drake Blvd, San Anselmo, CA 94960",$10–20,Free parking lot|Free street parking,3.9,sandwich shop,34,10,20,15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Anselmo,CA,94960
Edo Grill,"830 Sir Francis Drake Blvd, San Anselmo, CA 94960",$,Free parking lot|Free street parking,4.1,japanese restaurant,37,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Anselmo,CA,94960
Hot Wok Chinese Food,"898 Sir Francis Drake Blvd, San Anselmo, CA 94960",$10–20,Free parking lot|Free street parking|Parking,4.3,chinese restaurant,47,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Anselmo,CA,94960
Taqueria Mi Familia,"580 Red Hill Ave, San Anselmo, CA 94960",$10–20,Free parking lot|Free street parking|Parking,4.3,mexican restaurant,399,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Anselmo,CA,94960
China Villa,"340 Sir Francis Drake Blvd, San Anselmo, CA 94960",$$,Free parking lot|Free street parking,3.8,chinese restaurant,56,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Anselmo,CA,94960
Taco Jane's Restaurant And Bar,"21 Tamalpais Ave, San Anselmo, CA 94960",$20–30,Free street parking|Parking,4.5,mexican restaurant,327,20,30,25,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Anselmo,CA,94960
Creekside Pizza & Taproom,"638 San Anselmo Ave, San Anselmo, CA 94960",$20–30,Free parking lot|Free street parking,4.6,pizza restaurant,403,20,30,25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Anselmo,CA,94960
The Baan Thai Cuisine,"726 San Anselmo Ave, San Anselmo, CA 94960",$20–30,Free parking lot|Free street parking|Parking,4.5,thai restaurant,239,20,30,25,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Anselmo,CA,94960
BETZY’S TACOS,"1815 4th St, San Rafael, CA 94901",$10–20,Free parking lot|Free street parking|Parking,4.4,mexican restaurant,106,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Rafael,CA,94901
Amélie Café and Wine Bar,"71 Broadway, Fairfax, CA 94930",$$,Free street parking|Parking,4.8,french restaurant,181,,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Fairfax,CA,94930
The Lodge,"1573 Sir Francis Drake Blvd, Fairfax, CA 94930",$10–20,Free street parking,4.8,restaurant,99,10,20,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Fairfax,CA,94930
My Thai Fairfax,"25 Broadway, Fairfax, CA 94930",$20–30,Free parking lot|Free street parking|Parking,4,restaurant,46,20,30,25,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Fairfax,CA,94930
La Gastronomia di Porchetta,"123 Bolinas Rd, Fairfax, CA 94930",$50–100,Free street parking,4.8,italian restaurant,71,50,100,75,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Fairfax,CA,94930
Insalata's,"120 Sir Francis Drake Blvd, San Anselmo, CA 94960",$30–50,Free parking lot|Free street parking|Parking,4.6,mediterranean restaurant,508,30,50,40,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Anselmo,CA,94960
Stefano's Pizza,"330 San Anselmo Ave, San Anselmo, CA 94960",$1–10,Free street parking,4.4,pizza restaurant,100,1,10,5.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Anselmo,CA,94960
Comforts,"335 San Anselmo Ave, San Anselmo, CA 94960",$10–20,Free street parking|Paid parking lot|Paid street parking|Parking,4.5,american restaurant,633,10,20,15,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,San Anselmo,CA,94960
Valenti & Co. Ristorante,"337 San Anselmo Ave, San Anselmo, CA 94960",$50–100,Free parking lot|Free street parking|Paid street parking,4.8,italian restaurant,143,50,100,75,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,San Anselmo,CA,94960
Taqueria Mi Pueblo,"208 Sir Francis Drake Blvd, San Anselmo, CA 94960",$10–20,Free parking lot|Free street parking|Parking,4.4,mexican restaurant,255,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Anselmo,CA,94960
Madcap,"198 Sir Francis Drake Blvd, San Anselmo, CA 94960",$100+,Free parking lot|Free street parking|Parking,4.8,californian restaurant,300,100,100,100,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Anselmo,CA,94960
Cucina sa,"510 San Anselmo Ave, San Anselmo, CA 94960",$30–50,Parking,4.5,italian restaurant,191,30,50,40,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,San Anselmo,CA,94960
Marinitas,"218 Sir Francis Drake Blvd, San Anselmo, CA 94960",$20–30,Free parking lot|Free street parking|Paid street parking,4.4,mexican restaurant,387,20,30,25,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,San Anselmo,CA,94960
Salt-N-Pepper Sandwich & Grill,"1916 Sir Francis Drake Blvd, Fairfax, CA 94930",$10–20,Free parking lot|Free street parking,4,deli,93,10,20,15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Fairfax,CA,94930
HuLu Wa Cuisine,"4166 Redwood Hwy, San Rafael, CA 94903",$10–20,Free parking lot|Free street parking|Parking,4.2,chinese restaurant,122,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Rafael,CA,94903
Phyllis' Giant Burgers,"2202 4th St, San Rafael, CA 94901",$10–20,Free parking lot|Free street parking|Parking,4.4,hamburger restaurant,645,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Rafael,CA,94901
Round Table Pizza,"2200 4th St, San Rafael, CA 94901",$10–20,Free parking lot|Free street parking|Parking,3.7,pizza restaurant,205,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Rafael,CA,94901
MaruJun Japanese Cuisine,"2224 4th St, San Rafael, CA 94901",$50–100,Free parking lot|Free street parking|Parking,4.8,restaurant,21,50,100,75,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,San Rafael,CA,94901
